model,validation_auc_roc,validation_auc_pr,auc_roc,auc_pr,precision,recall,f1,accuracy,specificity,precision_at_k,recall_at_k,k,optimal_threshold,true_positive,false_positive,true_negative,false_negative
rf_baseline,0.7810151592571875,0.4204066976431883,0.8044566063156796,0.4656101331834518,0.4311009269867722,0.5978621984688719,0.5009682885499879,0.8006189854441704,0.8413823145055902,0.5386847195357833,0.32182579806442296,4136,0.6,4139,5462,28973,2784
rf_tuned,0.8190558893721454,0.48263439036808037,0.8355474701376616,0.5142246439308338,0.42803315749811605,0.6563628484760942,0.5181595301898626,0.7956622660670245,0.8236677798751271,0.581963249516441,0.34768164090712117,4136,0.55,4544,6072,28363,2379
gbt,0.8336735991610528,0.509902976064156,0.846628201972197,0.5249212237029427,0.47579639496655707,0.6062400693341037,0.533155487804878,0.822283475990135,0.8657180194569478,0.5964700193423598,0.35634840387115413,4136,0.65,4197,4624,29811,2726
