grid_id,grid_lat,grid_lon,date,fire_count,index,historical_mean,historical_std,history_days,threshold,z_score,is_anomaly
36_420,9.0,105.0,2024-12-31,0,0,0.19879518072289157,0.7537440244966688,1826,2.4600272542128976,-0.2637436241775077,False
38_420,9.5,105.0,2024-12-31,0,2,0.16046002190580505,0.6743785423639127,1826,2.183595648997543,-0.23793761489406423,False
38_424,9.5,106.0,2024-12-31,1,4,0.2732749178532311,1.0522346256384365,1826,3.4299787947685405,0.6906492757789957,False
40_420,10.0,105.0,2024-12-31,0,5,2.3389923329682367,8.058252427761879,1826,26.51374961625387,-0.2902604943114043,False
40_424,10.0,106.0,2024-12-31,0,7,0.05421686746987952,0.3857975408575992,1826,1.211609490042677,-0.14053191565026427,False
40_426,10.0,106.5,2024-12-31,0,8,0.013691128148959474,0.13780614097749846,1826,0.4271095510814549,-0.09935063888912625,False
42_420,10.5,105.0,2024-12-31,0,10,2.2973713033954,6.393212470183324,1826,21.477008713945374,-0.35934537043933457,False
42_424,10.5,106.0,2024-12-31,1,12,1.264512595837897,3.21530930497994,1826,10.910440510777718,-0.08226660975608609,False
42_426,10.5,106.5,2024-12-31,0,13,0.6374589266155531,1.3459218584290038,1826,4.675224501902564,-0.4736225380570105,False
44_428,11.0,107.0,2024-12-31,0,16,0.22727272727272727,0.6598803620008862,1826,2.206913813275386,-0.3444150490910079,False
44_430,11.0,107.5,2024-12-31,0,17,0.4140197152245345,1.1878381641741558,1826,3.9775342077470017,-0.34854892502328516,False
46_424,11.5,106.0,2024-12-31,0,19,0.47754654983570644,1.1225165974410136,1826,3.8450963421587474,-0.4254249344057478,False
48_434,12.0,108.5,2024-12-31,0,28,0.7809419496166484,3.017426716418657,1826,9.83322209887262,-0.25881057702820964,False
50_434,12.5,108.5,2024-12-31,0,31,2.2869660460021906,5.542544284554142,1826,18.914598899664618,-0.4126202567971291,False
50_436,12.5,109.0,2024-12-31,0,32,0.556407447973713,1.3897255140156775,1826,4.725583990020746,-0.4003721903082483,False
52_432,13.0,108.0,2024-12-31,0,33,0.6122672508214677,1.7034188367719085,1826,5.722523761137193,-0.35943435495979054,False
54_432,13.5,108.0,2024-12-31,0,36,1.1056955093099672,2.8230558364523692,1826,9.574863018667076,-0.3916661849308139,False
54_434,13.5,108.5,2024-12-31,0,37,1.5240963855421688,4.14698700719306,1826,13.965057407121348,-0.3675189680841977,False
54_436,13.5,109.0,2024-12-31,0,38,1.2907995618838992,3.5472996044368967,1826,11.932698375194589,-0.3638823064929139,False
56_434,14.0,108.5,2024-12-31,0,41,0.6484118291347207,1.4196816919535928,1826,4.907456904995499,-0.4567304296517732,False
58_430,14.5,107.5,2024-12-31,0,43,0.8882803943044907,2.185281926006452,1826,7.444126172323847,-0.4064832018849855,False
58_436,14.5,109.0,2024-12-31,0,46,0.156078860898138,0.7307408605548209,1826,2.3483014425626005,-0.21358989119567484,False
